,1,2
189,"[182.8541666666671, '']",[181.05989583333354]
190,"[173.55468749999997, '']",[171.7070312499999]
191,"[140.3815104166665, '']",[138.5872395833333]
192,"[132.53515624999977, '']",[131.28385416666666]
193,"[156.64322916666663, '']",[154.52994791666666]
194,"[174.35677083333343, '']",[172.87369791666657]
195,"[155.06901041666666, '']",[153.65494791666663]
196,"[168.46093750000009, '']",[166.9544270833337]
197,"[182.54687500000006, '']",[181.0143229166667]
198,"[103.5260416666668, '']",[102.09114583333344]
199,"[166.03255208333343, '']",[164.22526041666666]
200,"[176.8216145833338, '']",[174.62890624999983]
201,"[154.99088541666683, '']",[153.06119791666654]
202,"[135.91015625000003, '']",[134.14062499999997]
203,"[157.64713541666652, '']",[155.6445312499999]
204,"[190.12760416666654, '']",[187.95572916666697]
205,"[177.19401041666617, '']",[175.13151041666646]
206,"[170.5143229166667, '']",[168.7565104166668]
207,"[146.88020833333334, '']",[145.16145833333317]
208,"[136.92317708333314, '']",[135.5781249999999]
209,"[171.53125000000023, '']",[169.46223958333306]
210,"[175.09114583333346, '']",[172.7239583333332]
211,"[170.1614583333335, '']",[167.79296874999983]
212,"[161.68880208333337, '']",[159.7278645833331]
213,"[158.93489583333334, '']",[157.26041666666666]
214,"[170.62890624999972, '']",[168.85937499999997]
215,"[153.0820312500002, '']",[151.35807291666688]
216,"[136.6549479166667, '']",[135.41796875]
217,"[126.79036458333341, '']",[125.49609375000017]
218,"[109.00781249999991, '']",[107.28906249999994]
219,"[127.93880208333329, '']",[125.86328125000018]
220,"[164.81249999999986, '']",[162.9427083333333]
221,"[138.5403645833334, '']",[136.65885416666688]
222,"[149.1028645833333, '']",[147.57291666666657]
223,"[154.95182291666674, '']",[153.36067708333312]
224,"[166.52213541666666, '']",[164.73307291666666]
225,"[179.22395833333337, '']",[177.55338541666686]
226,"[161.55338541666669, '']",[159.5273437500002]
227,"[139.69661458333326, '']",[137.43619791666654]
228,"[116.58593749999986, '']",[114.8242187499998]
229,"[193.43098958333377, '']",[191.799479166667]
230,"[195.93359375000043, '']",[194.15364583333377]
231,"[191.8450520833337, '']",[189.8268229166674]
232,"[188.92447916666697, '']",[187.36718749999994]
233,"[158.2747395833333, '']",[156.38281250000014]
234,"[145.4453125000002, '']",[142.86848958333337]
235,"[87.59244791666661, '']",[86.18880208333327]
236,"[157.2265625, '']",[155.33593750000017]
237,"[186.09244791666646, '']",[184.4674479166668]
238,"[201.1328125000001, '']",[199.53255208333348]
239,"[213.41927083333408, '']",[211.38020833333388]
240,"[94.12109375000003, '']",[93.04296875]
241,"[82.67057291666646, '']",[80.39192708333334]
242,"[93.22135416666664, '']",[90.66406249999994]
243,"[128.92968750000014, '']",[127.30078125000023]
244,"[118.05338541666663, '']",[116.44791666666691]
245,"[109.7200520833333, '']",[108.33984375000006]
246,"[116.72526041666661, '']",[114.47916666666649]
247,"[142.25260416666674, '']",[140.19921874999974]
248,"[108.1718749999998, '']",[106.27343749999979]
249,"[151.66145833333343, '']",[149.85416666666663]
250,"[81.7460937500001, '']",[80.1119791666668]
251,"[152.44140625000023, '']",[151.1067708333333]
252,"[151.76432291666677, '']",[150.19531250000023]
253,"[153.39973958333331, '']",[151.65625000000017]
254,"[154.87499999999997, '']",[153.12760416666666]
255,"[149.35416666666666, '']",[146.53125]
256,"[169.96484374999974, '']",[168.43098958333334]
257,"[177.7486979166663, '']",[176.3424479166663]
258,"[100.63671874999979, '']",[98.79687499999994]
259,"[143.14843749999997, '']",[140.87630208333323]
260,"[167.42968750000037, '']",[165.6354166666669]
261,"[177.22526041666666, '']",[175.25520833333312]
262,"[191.16796874999952, '']",[189.42578124999977]
263,"[197.58203124999946, '']",[196.15755208333292]
264,"[171.88281250000014, '']",[169.96093750000009]
265,"[185.4648437499999, '']",[183.86458333333323]
266,"[196.6484374999999, '']",[195.17578124999986]
267,"[136.00130208333331, '']",[133.58203125]
268,"[114.39843749999974, '']",[113.04947916666663]
269,"[158.94531249999977, '']",[156.55598958333337]
270,"[144.89062500000003, '']",[142.93750000000006]
271,"[142.5260416666667, '']",[140.93229166666669]
272,"[170.6432291666665, '']",[168.37890625000006]
273,"[195.07682291666663, '']",[192.83984375000006]
274,"[193.64322916666703, '']",[192.23567708333312]
275,"[162.89973958333331, '']",[160.98958333333334]
276,"[201.77864583333331, '']",[199.89843749999977]
277,"[183.34765624999997, '']",[180.95833333333323]
278,"[85.70052083333334, '']",[84.81380208333324]
279,"[162.01432291666669, '']",[160.11848958333337]
280,"[157.26953125000014, '']",[155.40364583333331]
281,"[142.02734375000009, '']",[140.36197916666674]
282,"[135.08723958333337, '']",[133.05468749999991]
283,"[144.88411458333343, '']",[143.26692708333323]
284,"[158.92578124999994, '']",[156.9414062499997]
285,"[152.61588541666646, '']",[151.22135416666654]
286,"[172.01822916666674, '']",[169.41927083333286]
287,"[152.33333333333343, '']",[150.66796874999983]
288,"[188.44140624999994, '']",[186.50390624999986]
289,"[145.79427083333331, '']",[143.93098958333334]
290,"[124.72656250000014, '']",[122.32812500000016]
291,"[152.7486979166669, '']",[151.0625]
292,"[164.6861979166666, '']",[163.14453125000009]
293,"[168.77994791666646, '']",[166.94661458333317]
294,"[171.5234375, '']",[169.18619791666688]
