0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1.626302083,0.979166667,1.545572917,1.817708333,1.638020833,2.299479167,2.05078125,2.18359375,2.1171875,1.514322917,2.432291667,2.28515625,2.602864583,1.967447917,2.58203125,1.657552083,2.473958333,1.657552083,1.953125,2.0078125,1.989583333,1.16015625,1.315104167,1.880208333,1.725260417,1.239583333,2.194010417,2.56640625,2.739583333,1.802083333,2.765625,1.794270833,2.020833333,1.016927083,2.618489583,1.94921875,1.819010417,1.334635417,2.149739583,1.388020833,1.390625,1.56640625,2.263020833,1.3984375,1.798177083,2.145833333,0.86328125,2.063802083,1.79296875,1.837239583
0.858072917,1.54296875,1.634114583,2.5390625,1.264322917,2.299479167,1.643229167,1.35546875,2.200520833,1.70703125,1.44921875,2.182291667,2.028645833,2.59375,2.592447917,2.837239583,1.955729167,1.858072917,1.763020833,1.397135417,2.106770833,1.48046875,1.251302083,2.559895833,1.8203125,2.223958333,2.385416667,2.6484375,2.05078125,2.30859375,1.84765625,1.90234375,1.01953125,2.576822917,1.770833333,1.111979167,1.803385417,1.72265625,1.408854167,1.951822917,1.9921875,0.7890625,1.6328125,2.266927083,1.537760417,1.169270833,1.3359375,1.815104167,2.091145833,1.158854167
1.911458333,1.888020833,1.669270833,2.106770833,1.93359375,0.78515625,1.78515625,1.484375,1.41015625,1.46875,2.47265625,1.865885417,1.614583333,2.143229167,2.0625,1.6328125,2.076822917,1.8515625,1.598958333,1.079427083,1.932291667,1.76953125,2.631510417,1.776041667,2.338541667,1.979166667,2.0546875,2.64453125,1.963541667,1.66796875,1.217447917,1.135416667,1.609375,1.130208333,1.278645833,1.772135417,1.740885417,1.971354167,2.052083333,0.7265625,1.015625,2.786458333,1.934895833,2.274739583,1.540364583,1.115885417,1.778645833,1.626302083,1.59375,1.438802083
2.8125,1.751302083,1.412760417,2.3359375,1.821614583,2.319010417,1.278645833,1.059895833,1.83203125,1.8046875,1.401041667,2.002604167,1.662760417,1.311197917,1.729166667,2.204427083,1.8359375,1.498697917,1.03515625,1.41015625,2.571614583,1.692708333,2.106770833,2.192708333,2.541666667,1.2421875,1.786458333,1.591145833,2.084635417,1.388020833,1.087239583,1.559895833,1.8515625,1.399739583,1.45703125,1.5546875,1.989583333,1.174479167,1.610677083,1.541666667,1.447916667,2.178385417,1.911458333,2.01171875,1.54296875,1.91796875,1.483072917,1.619791667,1.947916667,2.033854167
2.305989583,2.1328125,2.028645833,1.68359375,1.57421875,1.216145833,1.651041667,1.919270833,1.56640625,1.69921875,1.373697917,1.760416667,1.966145833,1.611979167,2.147135417,1.19921875,1.932291667,1.671875,2.325520833,2.123697917,1.46484375,1.861979167,2.6875,2.174479167,1.55859375,2.020833333,1.834635417,1.489583333,1.47265625,1.065104167,1.95703125,1.408854167,1.358072917,1.69921875,1.416666667,1.364583333,1.928385417,1.735677083,1.188802083,2.033854167,1.51171875,2.213541667,1.828125,1.940104167,1.20703125,1.221354167,1.4296875,1.38671875,2.080729167,1.834635417
2.015625,1.869791667,1.661458333,1.8828125,1.819010417,1.276041667,1.9375,1.591145833,1.852864583,1.529947917,2.22265625,2.0703125,2.390625,1.071614583,1.365885417,2.561197917,1.9921875,2.4140625,1.9140625,1.625,1.87109375,2.001302083,1.967447917,1.903645833,1.9921875,1.471354167,2.416666667,1.352864583,1.56640625,1.579427083,1.446614583,1.544270833,1.928385417,1.993489583,1.571614583,1.520833333,2.298177083,1.330729167,1.916666667,1.819010417,2.260416667,1.205729167,2.046875,1.6015625,0.916666667,1.565104167,2.135416667,1.80078125,1.453125,1.098958333
2.266927083,1.829427083,1.697916667,1.645833333,1.8359375,2.07421875,1.571614583,1.067708333,1.7578125,1.62109375,2.4453125,1.805989583,1.46875,1.907552083,2.444010417,2.002604167,1.694010417,1.247395833,1.584635417,1.692708333,2.381510417,1.72265625,1.934895833,2.239583333,1.509114583,1.6875,1.477864583,1.744791667,1.028645833,1.82421875,1.78125,1.891927083,1.78125,1.481770833,1.713541667,2.256510417,1.552083333,1.221354167,1.602864583,2.087239583,1.829427083,2.141927083,0.56640625,1.1875,1.497395833,1.84765625,1.606770833,1.3984375,1.401041667,1.471354167
2.432291667,1.221354167,2.05078125,2.46484375,1.377604167,1.138020833,1.66015625,1.735677083,2.092447917,1.505208333,2.002604167,1.63671875,1.916666667,2.201822917,2.420572917,1.283854167,1.838541667,1.540364583,2.234375,1.888020833,2.49609375,2.454427083,1.716145833,1.373697917,2.346354167,1.958333333,1.778645833,1.13671875,1.009114583,1.513020833,1.819010417,1.858072917,1.618489583,1.018229167,2.09375,1.811197917,1.149739583,1.34765625,1.9609375,1.861979167,1.93359375,0.869791667,1.428385417,2.1875,1.779947917,1.557291667,1.807291667,2.1171875,1.614583333,1.313802083
1.70703125,1.2109375,1.712239583,0.6015625,1.029947917,1.671875,1.022135417,1.259114583,1.049479167,0.885416667,2.013020833,2.0859375,1.891927083,1.029947917,1.958333333,1.225260417,2.16796875,1.78125,1.805989583,2.368489583,1.529947917,1.428385417,1.563802083,1.97265625,1.989583333,2.115885417,1.796875,1.11328125,1.286458333,1.1875,1.5234375,1.537760417,1.41796875,2.147135417,1.38671875,1.729166667,2.190104167,2.494791667,2.143229167,1.888020833,2.119791667,2.002604167,1.364583333,1.834635417,1.399739583,0.889322917,1.141927083,1.565104167,1.555989583,1.359375
1.592447917,1.541666667,1.305989583,1.263020833,1.75390625,1.958333333,1.606770833,1.51171875,2.140625,1.75390625,1.697916667,1.983072917,1.583333333,1.65625,2.51171875,1.9609375,2.260416667,2.067708333,2.559895833,1.959635417,1.899739583,2.497395833,2.795572917,1.9765625,1.712239583,1.53125,1.807291667,1.173177083,1.220052083,1.79296875,2.040364583,1.467447917,1.37109375,1.723958333,1.338541667,2.13671875,2.265625,2.036458333,2.43359375,2.252604167,1.744791667,1.375,1.36328125,1.088541667,1.37890625,1.7734375,1.713541667,1.739583333,2.165364583,1.727864583
