,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
,2.194010417,1.975260417,2.09765625,2.09765625,2.479166667,2.35546875,2.43359375,2.501302083,2.5,2.5,2.5,2.4140625,2.4140625,2.4140625,2.3984375,2.3984375,2.3984375,2.3984375,2.3984375,2.3984375,2.3984375,2.3984375,2.3984375,2.3046875,2.3046875,2.236979167,2.236979167,2.236979167,2.236979167,2.236979167,3.041666667,3.041666667,3.041666667,3.041666667,3.041666667,2.3671875,2.3671875,2.3671875,2.3671875,2.3671875,2.3671875,2.3671875,2.375,2.33203125,2.412760417,2.404947917,2.404947917,2.369791667,2.361979167,2.361979167
,2.485677083,1.984375,1.953125,2.204427083,1.791666667,1.729166667,1.729166667,1.7734375,2.907552083,2.841145833,1.997395833,1.751302083,2.169270833,2.169270833,2.055989583,2.055989583,2.055989583,2.055989583,2.055989583,2.055989583,2.055989583,2.055989583,2.055989583,1.915364583,2.169270833,2.122395833,2.165364583,2.165364583,2.165364583,2.165364583,2.223958333,2.223958333,2.223958333,2.223958333,2.223958333,2.177083333,2.614583333,2.1875,2.102864583,2.102864583,2.102864583,2.102864583,2.227864583,2.227864583,1.9296875,1.967447917,1.592447917,2.044270833,2.6796875,2.4296875
,2.868489583,2.640625,2.424479167,1.829427083,2.348958333,1.881510417,1.881510417,1.881510417,1.881510417,1.881510417,2.216145833,2.697916667,2.697916667,2.638020833,2.421875,2.30078125,2.30078125,2.296875,2.296875,2.296875,2.296875,2.296875,2.296875,1.9765625,2.5078125,2.5078125,2.5078125,2.5078125,2.5078125,2.5078125,2.53515625,2.5,2.484375,2.484375,2.484375,2.55859375,3.287760417,2.7890625,2.778645833,2.747395833,2.924479167,2.924479167,2.924479167,2.924479167,2.899739583,1.725260417,2.455729167,1.930989583,2.734375,2.020833333
,2.950520833,2.313802083,2.78515625,2.88671875,2.024739583,2.0703125,2.05859375,2.0390625,2.0390625,2.0390625,2.0390625,1.6015625,1.62109375,1.62109375,1.770833333,1.770833333,1.770833333,1.690104167,1.690104167,1.690104167,1.690104167,1.690104167,1.690104167,2.014322917,1.975260417,1.901041667,1.997395833,1.997395833,1.997395833,1.997395833,1.997395833,2.223958333,2.223958333,2.223958333,2.223958333,2.243489583,2.22265625,2.1484375,2.22265625,1.489583333,1.489583333,1.489583333,1.489583333,1.489583333,1.489583333,1.497395833,1.497395833,2.251302083,2.276041667,2.139322917
,2.645833333,2.638020833,2.764322917,2.0546875,2.55078125,2.5546875,2.6171875,2.497395833,2.609375,2.493489583,2.609375,1.868489583,1.868489583,1.868489583,1.899739583,1.899739583,1.899739583,1.966145833,2.7578125,1.825520833,1.912760417,1.912760417,1.912760417,2.247395833,2.247395833,2.247395833,2.247395833,2.247395833,2.247395833,1.830729167,1.830729167,1.830729167,1.830729167,1.830729167,1.830729167,2.138020833,2.138020833,2.138020833,2.161458333,2.161458333,2.161458333,1.56640625,1.56640625,1.56640625,1.56640625,1.71484375,1.71484375,2.162760417,2.162760417,2.162760417
,2.7265625,2.080729167,2.61328125,2.725260417,2.725260417,2.725260417,2.725260417,2.60546875,2.723958333,2.634114583,2.752604167,2.497395833,2.555989583,2.555989583,2.537760417,2.53125,2.541666667,2.361979167,2.361979167,2.354166667,2.354166667,2.334635417,2.334635417,2,1.92578125,1.92578125,1.92578125,1.92578125,1.92578125,1.92578125,1.92578125,1.92578125,1.92578125,1.92578125,1.92578125,1.4921875,2.158854167,1.45703125,2.438802083,2.317708333,2.317708333,2.317708333,2.317708333,2.317708333,2.654947917,2.716145833,2.696614583,1.901041667,1.94921875,1.94921875
,2.260416667,2.260416667,2.524739583,2.674479167,2.966145833,2.850260417,2.515625,2.845052083,2.845052083,2.604166667,2.604166667,2.5546875,2.5546875,2.5546875,3.227864583,3.212239583,3.212239583,3.212239583,3.212239583,3.212239583,3.212239583,3.212239583,3.212239583,2.537760417,2.510416667,2.313802083,2.313802083,2.313802083,2.313802083,2.270833333,2.270833333,2.270833333,2.875,2.875,2.875,2.494791667,2.58984375,2.40234375,2.522135417,2.526041667,2.526041667,2.526041667,2.526041667,2.526041667,2.526041667,2.526041667,2.526041667,2.5390625,2.625,2.625
,2.104166667,2.104166667,2.104166667,2.069010417,2.255208333,2.169270833,1.716145833,1.96484375,2.423177083,2.423177083,2.420572917,2.489583333,2.973958333,2.973958333,2.604166667,2.001302083,2.54296875,2.501302083,2.501302083,2.54296875,2.54296875,2.54296875,2.54296875,2.479166667,2.604166667,2.076822917,2.170572917,2.170572917,2.170572917,2.080729167,2.080729167,2.080729167,2.080729167,2.407552083,2.403645833,2.420572917,2.837239583,2.384114583,2.967447917,2.522135417,2.657552083,2.52734375,2.5078125,2.69921875,2.69921875,2.69921875,2.71484375,2.256510417,2.5234375,2.26171875
,2.196614583,2.408854167,2.408854167,2.404947917,2.615885417,2.30859375,2.49609375,2.341145833,2.438802083,2.283854167,2.279947917,2.348958333,2.536458333,2.334635417,2.854166667,2.395833333,2.822916667,2.365885417,2.807291667,2.3515625,2.796875,2.346354167,2.34375,2.09375,2.40625,2.40625,2.40625,2.40625,2.40625,2.40625,2.40625,2.25390625,2.25390625,2.25390625,2.265625,2.572916667,2.572916667,2.572916667,2.572916667,2.572916667,2.572916667,2.572916667,2.688802083,2.680989583,2.680989583,2.680989583,2.833333333,2.364583333,2.364583333,2.364583333
,2.092447917,2.092447917,2.092447917,2.83203125,2.83984375,2.276041667,2.276041667,2.276041667,2.276041667,2.276041667,2.276041667,2.421875,2.421875,2.421875,2.002604167,2.1875,2.21875,2.21875,2.21875,2.21875,2.21875,2.21875,2.21875,2.708333333,3.19921875,2.45703125,3.10546875,3.10546875,3.10546875,3.10546875,3.10546875,2.524739583,2.524739583,2.524739583,2.524739583,1.8828125,1.8828125,2.1875,2.510416667,2.15234375,2.15234375,2.15234375,2.08984375,2.015625,2.015625,2.015625,2.1484375,2.3515625,2.27734375,2.235677083
